,total_score,monthly_cumulative_score,weekly_cumulative_score,pvalues_under-total,pvalues_under-months,pvalues_under-weeks
total_score,1,0.78932318,0.589404976,0.812035474,0.703996788,0.555797289
monthly_cumulative_score,0.78932318,1,0.802643657,0.66594925,0.942292297,0.75380412
weekly_cumulative_score,0.589404976,0.802643657,1,0.527635817,0.75230781,0.910693876
pvalues_under-total,0.812035474,0.66594925,0.527635817,1,0.632662749,0.521789678
pvalues_under-months,0.703996788,0.942292297,0.75230781,0.632662749,1,0.745246503
pvalues_under-weeks,0.555797289,0.75380412,0.910693876,0.521789678,0.745246503,1
,,,,,,
,1,0.79,0.59,0.81,0.7,0.56
,0.79,1,0.8,0.67,0.94,0.75
,0.59,0.8,1,0.53,0.75,0.91
,0.81,0.67,0.53,1,0.63,0.52
,0.7,0.94,0.75,0.63,1,0.75
,0.56,0.75,0.91,0.52,0.75,1
,0,0,0,0,0,0
