"","week","bottom_1","bottom_2","bottom_3","top_1","top_2","top_3"
"1",1,NA,NA,NA,NA,NA,NA
"2",2,NA,NA,NA,NA,NA,NA
"3",3,NA,NA,NA,NA,NA,0.125
"4",4,NA,NA,NA,NA,NA,NA
"5",5,0.08974359,0.41025641,NA,0.93589744,NA,NA
"6",6,NA,0.1538462,NA,NA,NA,NA
"7",7,NA,0.62,NA,NA,NA,NA
"8",8,NA,NA,NA,NA,NA,NA
"9",9,NA,0.1666667,NA,NA,NA,0.7361111
"10",10,NA,0.01851852,0.66666667,NA,NA,NA
"11",11,0.078125,0.5,0.3125,NA,NA,NA
"12",12,0.05263158,0.03508772,NA,NA,NA,0.92982456
"13",13,NA,0.6052632,0.3684211,NA,NA,0.6578947
"14",14,NA,NA,NA,NA,NA,0.3295455
"15",15,0.2790698,NA,NA,0.127907,NA,NA
"16",16,NA,NA,NA,NA,NA,NA
"17",17,NA,NA,0.4137931,0.5862069,NA,0.3275862
"18",18,NA,NA,NA,1,NA,0.8333333
"19",19,0.7164179,NA,NA,NA,NA,0.9253731
"20",20,0.3478261,NA,0.4202899,NA,NA,0.9275362
"21",21,NA,NA,NA,NA,1,0.7916667
"22",22,0.05882353,NA,0.2745098,0.7254902,0.96078431,0.98039216
"23",23,0.6862745,NA,0.5686275,NA,NA,0.8431373
"24",24,0.04347826,NA,0.65217391,NA,NA,NA
"25",25,NA,NA,NA,NA,0.1864407,NA
"26",26,NA,0.07246377,0.33333333,0.1884058,0.65217391,NA
"27",27,0.44,0.12,NA,NA,NA,0.7733333
"28",28,NA,NA,NA,0.9666667,0.6111111,0.8222222
"29",29,0.1643836,NA,NA,NA,0.5753425,0.9315068
"30",30,NA,0.3012048,0.4457831,0.9518072,0.5301205,NA
"31",31,NA,0.01204819,0.08433735,0.93975904,0.27710843,NA
"32",32,NA,NA,0.2727273,NA,0.6477273,NA
"33",33,NA,NA,NA,NA,0.9264706,NA
"34",34,0.1619048,0.1238095,0.2761905,0.9428571,0.247619,0.752381
"35",35,0.3291139,NA,0.2025316,0.556962,0.9113924,NA
"36",36,NA,NA,NA,0.6707317,0.9390244,0.1585366
"37",37,0.4787234,NA,NA,0.106383,0.8829787,0.8617021
"38",38,0.4857143,0.2380952,0.5238095,NA,0.4285714,0.6095238
"39",39,0.01162791,0.61627907,0.36046512,0.45348837,0.91860465,NA
"40",40,0.3369565,0.8152174,NA,0.3152174,0.8369565,NA
"41",41,0.05617978,NA,NA,NA,0.94382022,0.52808989
"42",42,NA,NA,0.3195876,NA,0.814433,0.4845361
"43",43,NA,0.5641026,0.2307692,1,0.6581197,NA
"44",44,NA,NA,0.47,0.96,0.24,0.81
"45",45,NA,0.1775701,NA,0.9439252,0.5981308,0.2803738
"46",46,NA,0.07291667,NA,NA,0.97916667,0.96875
"47",47,NA,0.1634615,NA,NA,NA,0.5384615
"48",48,0.73148148,0.02777778,0.11111111,0.96296296,0.67592593,0.75
"49",49,0.3061224,0.7244898,0.3367347,NA,0.9795918,NA
"50",50,NA,0.7128713,0.4059406,0.7722772,0.8415842,NA
